,Number of trades,Close,Volume,0,1,2,3
0,773.0,30684.57,32.17433,,,,
1,1216.0,30711.24,87.27645,,,,
2,1312.0,30757.79,98.72511,,,,
3,1081.0,30726.51,94.28586,,,,
4,1427.0,30744.19,110.13828,,,,
5,1094.0,30691.89,95.30408,,,,
6,1556.0,30642.55,60.54185,,,,
7,2058.0,30626.28,126.88884,,,,
8,2143.0,30711.98,157.86385,,,,
9,1476.0,30748.22,99.522,,,,
10,897.0,30710.11,42.02931,,,,
11,1977.0,30732.02,156.2126,,,,
12,1964.0,30704.93,123.8169,,,,
13,1324.0,30742.63,85.13649,,,,
14,1499.0,30736.9,95.89372,,,,55.3119353594414
15,1296.0,30817.96,64.24717,,,,62.039465393161386
16,2308.0,30876.75,148.8593,,,,66.03337342034678
17,1750.0,30888.52,150.65833,,,,66.78678848003338
18,2050.0,30858.79,139.64581,,,,62.98636860810953
19,1498.0,30820.8,92.94703,,,30746.731500000005,58.41228319836848
20,1428.0,30773.68,83.21688,,,30749.29802380953,53.247223582161
21,1298.0,30789.89,62.68069,,,30753.16392630386,54.73022613295829
22,1672.0,30900.54,101.32451,,,30767.19974284635,63.29015457322852
23,1388.0,30942.28,87.31763,,,30783.87405305146,65.90887340990301
24,1859.0,30963.53,146.68816,,,30800.984143237034,67.19202200937808
25,1781.0,30926.53,124.62889,,,30812.940891500173,62.76243860389843
26,2183.0,30949.35,157.75424,,,30825.932235166823,64.3245542439476
27,1493.0,30990.12,87.06446,,,30841.569165150937,66.98896310347718
28,2444.0,30964.44,195.65722,,,30853.271149422275,63.758898152149726
29,1189.0,30954.27,68.22746,,,30862.890087572534,62.474147185481335
30,1649.0,30954.4,154.55688,,,30871.605317327532,62.484553461781914
31,855.0,30926.96,47.41312,,,30876.877191867767,58.77932641944563
32,1340.0,30947.06,89.91684,,,30883.561268832742,60.62136793422371
33,1381.0,31012.49,80.4477,,,30895.840195610577,65.95478936112985
34,1011.0,30973.08,46.66043,,,30903.19636745719,60.62836989130583
35,795.0,30985.66,36.21756,,,30911.05004674698,61.69187317170073
36,1358.0,30973.19,101.69819,,,30916.968137532982,59.96282141807784
37,1574.0,31018.49,152.22312,,,30926.636886339365,63.918992987421795
38,1494.0,31010.29,105.44208,,,30934.60384954514,62.711023743756265
39,1187.0,30978.66,63.48293,,,30938.79967339798,58.1462652974868
40,1256.0,31030.76,84.85864,,,30947.55779974103,62.93246515517894
41,1848.0,31052.21,97.30733,,,30957.52467595617,64.72119492789284
42,1241.0,31070.23,68.31517,,,30968.2585163413,66.19696565441622
43,1347.0,31049.15,104.71566,,,30975.962467165937,62.88306685020578
44,1479.0,31099.99,80.28218,,,30987.774613150134,67.15383024313562
45,2728.0,31125.37,202.00779,,,31000.878935707264,69.0673017145413
46,2026.0,31138.89,139.82433,,,31014.022846592285,70.06764241815824
47,1598.0,31147.0,105.36057,,,31026.68733739302,70.68016278741722
48,1727.0,31133.17,80.7287,,,31036.82854335559,68.12015522047328
49,1360.0,31095.06,64.89091,,30896.227399999996,31042.374396369345,61.50891103282849
50,1524.0,31109.94,98.01986,,30904.608286274506,31048.80921576274,63.018106121321956
51,1030.0,31093.94,60.95908,,30912.03305936178,31053.1073856901,60.28114629917175
52,1252.0,31043.7,78.42785,,30917.196468798575,31052.211444195804,52.5616897842594
53,1003.0,31080.73,73.96102,,30923.609548453533,31054.927497129538,56.938732606919665
54,1165.0,31022.85,93.7453,,30927.50133086712,31051.872497402914,49.28419828460082
55,1323.0,31087.86,124.63163,,30933.789906127233,31055.299878602636,56.37763239373468
56,1662.0,31145.84,161.55842,,30942.105596083027,31063.922747307148,61.54373548521789
57,1754.0,31139.61,137.5641,,30949.85086682487,31071.13105708742,60.71173987805679
58,1050.0,31136.92,57.63226,,30957.18691126311,31077.39667069814,60.33247967571511
59,2850.0,31185.82,217.4429,,30966.152914742986,31087.722702060222,64.65497160212564
60,1538.0,31154.46,105.493,,30973.537506321692,31094.078635197344,60.129744547812955
61,1208.0,31152.16,83.06973,,30980.54230999535,31099.610193749977,59.79916950147096
62,1601.0,31207.2,119.09645,,30989.43084685828,31109.856841964265,64.78807974859343
63,1584.0,31185.74,116.53088,,30997.1292450207,31117.08380939624,61.579289598216214
64,3254.0,31277.82,272.85285,,31008.136725608125,31132.39201802517,68.73462674711243
65,1652.0,31225.16,105.02272,,31016.647442250942,31141.227063927534,61.66197360795659
66,1416.0,31219.46,86.44837,,31024.600875888158,31148.67781974396,60.93112959287602
67,1737.0,31292.59,224.70697,,31035.11025330431,31162.383741673108,66.42880914320712
68,1482.0,31307.44,102.47304,,31045.789851213944,31176.198623418524,67.43104056413226
69,1991.0,31359.08,115.95695,,31058.075739401633,31193.615897378666,70.70612536169824
70,2094.0,31377.6,142.7591,,31070.606102562353,31211.138192866412,71.80130924174496
71,1856.0,31408.67,127.95296,,31083.863510305007,31229.950745926755,73.58548571230568
72,4402.0,31462.12,523.88565,,31098.697098136185,31252.06210345754,76.35691696423925
73,1569.0,31485.01,107.85751,,31113.846623699472,31274.247617413967,77.44817136951724
74,3033.0,31527.6,485.9565,,31130.072246299493,31298.376415755494,79.3572989681935
75,2623.0,31502.1,322.4984,,31144.66156997402,31317.778661874017,75.24981521092609
76,1780.0,31483.96,129.31884,,31157.967390759353,31333.605455981255,72.3797749363434
77,1407.0,31458.45,88.42307,,31169.75102249428,31345.49541255447,68.42729404665398
78,1861.0,31435.02,112.86451,,31180.153727494508,31354.021563739756,64.92072476949333
79,1438.0,31391.74,83.57765,,31188.451228377075,31357.61379576454,58.91483483937016
80,1378.0,31409.18,68.11813,,31197.107258636795,31362.524862834583,60.50056330746908
81,1199.0,31449.99,66.68947,,31207.024228886334,31370.854875897956,64.00185802737025
82,1340.0,31414.39,69.63194,,31215.156219910397,31375.00107819339,59.08191141211366
83,1688.0,31365.77,107.58069,,31221.06264265901,31374.121927889257,53.08051175033107
84,1267.0,31362.78,90.05532,,31226.620186084147,31373.041744280756,52.725810926249636
85,1503.0,31339.51,112.37468,,31231.04723761026,31369.848244825447,49.92944675879233
86,1225.0,31372.13,66.65538,,31236.579894958875,31370.065554842073,53.64116681721407
87,1140.0,31333.59,64.81399,,31240.384212803627,31366.591692476162,49.01779295059131
88,1222.0,31317.74,66.91156,,31243.41777308584,31361.939150335576,47.215411071436385
89,988.0,31304.2,57.35356,,31245.80138982757,31356.44018363695,45.67050199120329
90,1200.0,31293.1,103.08912,,31247.656237285315,31350.407785195337,44.38824199480387
91,1615.0,31300.01,144.60182,,31249.709326019223,31345.607996129114,45.41566220901252
92,1192.0,31327.91,82.35962,,31252.776019116507,31343.922472688246,49.474510776790346
93,1420.0,31341.83,89.46056,,31256.26833209233,31343.72318957508,51.41562519927785
94,1515.0,31355.08,89.36936,,31260.14329946126,31344.80479056793,53.25649555659376
95,1686.0,31321.44,107.73572,,31262.547091639248,31342.579572418603,48.25715113258619
96,1082.0,31373.49,61.06709,,31266.897793927907,31345.52342266445,55.25597343594891
97,1187.0,31358.38,89.78321,,31270.48533142093,31346.747858601168,53.014182478186
98,1559.0,31447.99,97.11995,,31277.446298816187,31356.38996730582,62.683458568037075
99,1639.0,31436.81,82.24738,,31283.695855725357,31364.049018038597,60.99688670045553
100,2079.0,31474.07,117.30118,,31291.16150844201,31374.527206796825,64.43168272039154
101,2776.0,31557.21,181.49317,,31301.594782620752,31391.92556805427,70.64396198725518
102,1781.0,31545.71,122.50438,,31311.16792840033,31406.571704430055,68.85261147616464
103,1358.0,31553.54,90.16857,,31320.672715521887,31420.568684960526,69.42116976676313
104,3648.0,31648.36,232.37001,,31333.523197266128,31442.263095916667,75.30089952493742
105,1913.0,31652.81,133.54007,,31346.04424835373,31462.315182019844,75.53861761802503
106,1735.0,31664.64,101.39738,,31358.53819939868,31481.584212303667,76.19456152633994
107,1675.0,31650.33,100.24677,,31369.981015108537,31497.65523970332,73.62276043624345
108,1413.0,31642.01,92.71353,,31380.648818437614,31511.40331211253,72.09901949612664
109,1474.0,31608.59,97.51225,,31389.587688302807,31520.65918714943,66.17444518869658
110,1584.0,31644.12,112.50262,,31399.56934758505,31532.417359801868,69.08313057720143
111,3195.0,31735.51,172.41225,,31412.743490817007,31551.759516011214,75.03077544376836
112,2614.0,31774.9,159.71183,,31426.9457068634,31573.010990676812,77.07760420625391
113,4640.0,31934.47,327.06558,,31446.84862031974,31607.435658231403,83.11579693012716
114,3097.0,31965.36,195.62959,,31467.182399915044,31641.523690780792,83.9947405703658
115,2808.0,31962.77,186.95454,,31486.617207761512,31672.118577373098,83.60176779755612
116,2268.0,31896.15,182.87907,,31502.67731726106,31693.454903337566,74.0101629942422
117,1883.0,31920.09,98.50773,,31519.046442074352,31715.039198257797,75.11504737692822
118,2752.0,31843.5,176.72374,,31531.77011101261,31727.273560328482,65.51859983350484
119,2686.0,31763.33,143.57493,,31540.8508909729,31730.707506963863,57.27074716287224
120,1895.0,31764.57,117.99501,,31549.624189366117,31733.932506300636,57.36015721880228
121,1866.0,31713.2,127.06812,,31556.038927038033,31731.957981891053,52.462559536409174
122,1707.0,31765.6,123.05064,,31564.25700833066,31735.161983615715,56.53898102947613
123,2101.0,31810.14,199.79684,,31573.899478592204,31742.302747080885,59.70219309735844
124,1995.0,31842.42,151.40562,,31584.429695118,31751.83772354937,61.86831265980446
125,1728.0,31745.73,111.07816,,31590.755197270235,31751.256035592287,52.72595539759807
126,1986.0,31827.87,176.77443,,31600.053816985128,31758.552603631117,58.35586685724737
127,2019.0,31840.0,193.22537,,31609.463471221006,31766.30949852339,59.12992752069914
128,1732.0,31813.75,110.75809,,31617.474707643712,31770.827641521162,56.67485253935824
129,1828.0,31819.72,132.52535,,31625.405895579253,31775.484056614387,57.11099969460135
130,1654.0,31873.32,135.05723,,31635.128017321244,31784.801765508255,60.91530101559917
131,1516.0,31902.55,94.99739,,31645.61515389688,31796.015883078897,62.85052134256275
132,1616.0,31918.15,109.84019,,31656.30279492053,31807.64770373805,63.87846729741027
133,1848.0,31909.99,139.37814,,31666.251312766784,31817.39458909633,62.89806329526848
134,1953.0,31945.02,152.20475,,31677.183418148477,31829.549390134773,65.35622505813934
135,1485.0,31957.06,113.21174,,31688.15897037795,31841.693257740986,66.18548013097717
136,1870.0,31936.7,142.11707,,31697.905677421953,31850.74151890851,63.42088708808116
137,4393.0,32001.26,296.43777,,31709.80192536619,31865.076612345794,67.98717157717435
138,3863.0,32147.19,323.23713,,31726.954398881244,31891.944554027148,75.44793890958101
139,3366.0,32136.84,235.88324,,31743.028344023154,31915.267929834088,74.1283930573243
140,1986.0,32129.99,123.54119,,31758.203310924207,31935.71765080227,73.21571767888011
141,3181.0,32225.69,233.83868,,31776.536122260513,31963.33406501158,77.40183156866486
142,2350.0,32278.0,152.19244,,31796.201372367945,31993.30224929619,79.30570923058448
143,4648.0,32350.0,322.08262,,31817.918965608416,32027.273463648933,81.60313777556355
144,2664.0,32413.22,235.60506,,31841.26410421201,32064.03027663475,83.35092388352783
145,2675.0,32411.04,195.18621,,31863.60825698801,32097.078821717154,83.05789385529188
146,2709.0,32274.48,176.10866,,31879.720874361028,32113.974172029804,67.13558083885738
147,1918.0,32245.31,118.5514,,31894.05770281746,32126.482346122204,64.30005135554185
148,1974.0,32222.45,122.93384,,31906.935832118736,32135.622122681994,62.08692579799311
149,1808.0,32309.04,132.11125,,31922.70462301604,32152.138110997996,66.75461845428687
150,1990.0,32350.88,145.94911,,31939.495814270314,32171.06590995057,68.7562538471241
151,1652.0,32348.37,113.20242,,31955.530096063634,32187.9520137648,68.48984627145333
152,1692.0,32259.99,112.42142,,31967.46970013957,32194.81277435863,59.71599979149757
153,1473.0,32267.49,118.66627,,31979.23520209488,32201.734414895902,60.18215818260404
154,1744.0,32358.6,167.84216,,31994.11225299312,32216.673994429624,65.41751807789362
155,5267.0,32514.59,394.04232,,32014.523145032606,32245.04694734109,72.16542163266226
156,2782.0,32457.68,217.2326,,32031.901845227407,32265.297714260985,67.0268982024234
157,1661.0,32452.19,138.04629,,32048.383733649862,32283.096979569462,66.53471596388198
158,1777.0,32376.72,125.26652,,32061.259665663594,32292.013457705703,60.01100916198195
159,1832.0,32430.01,114.89135,,32075.72046308855,32305.155985543257,62.78568474766752
160,2691.0,32478.4,299.04195,,32091.511817477236,32321.655415491517,65.15032503999237
161,2036.0,32450.69,132.27519,,32105.5972363997,32333.944423539946,62.69366915072461
162,2033.0,32531.87,138.17302,,32122.313815364418,32352.794478440905,66.66001308631316
163,2216.0,32582.29,160.94898,,32140.352097114832,32374.651194779864,68.87349829516208
164,2895.0,32591.3,173.29518,,32158.036328600523,32395.28441432464,69.26617438250666
165,2190.0,32561.73,103.52841,,32173.86745296913,32411.13637486515,66.30958072735217
166,1999.0,32605.61,133.83344,,32190.79853324485,32429.65767249704,68.46096883989198
167,2187.0,32525.9,157.58923,,32203.93976723525,32438.823608449704,60.85834722272578
168,2011.0,32489.99,112.98568,,32215.157423422104,32443.69659812116,57.74707775774986
169,1558.0,32496.29,76.38527,,32226.182230346727,32448.705493538193,58.15128992001247
170,1895.0,32567.9,183.86473,,32239.582927195876,32460.057351296462,62.53820309523018
171,1903.0,32615.35,126.59821,,32254.318890835253,32474.847127363464,65.1454584276161
172,2312.0,32551.69,175.46427,,32265.98050295936,32482.16549618599,59.19319875113307
173,1512.0,32600.76,98.88206,,32279.109110686444,32493.460210834943,62.070029654839665
174,1757.0,32555.37,152.68236,,32289.94287105168,32499.356381231613,57.99701272282064
175,2137.0,32500.0,142.26595,,32298.18040552024,32499.417678257174,53.394160328823034
176,2867.0,32415.28,176.09405,,32302.77254648023,32491.404566042205,47.219175062110565
177,2886.0,32354.11,220.84534,,32304.785779951595,32478.328893085803,43.323333823666374
178,5690.0,32210.84,797.13242,,32301.1016317182,32452.853760410966,35.86054426364585
179,1693.0,32289.3,88.44209,,32300.638822631212,32437.2772118004,41.775639973057146
180,2264.0,32355.37,243.31028,,32302.78514331234,32429.476524962265,46.269295020185744
181,1794.0,32225.09,95.80833,,32299.73827494715,32410.011141632527,39.75400153009871
182,1806.0,32197.29,114.48256,,32295.72069553746,32389.751985286573,38.50792991382925
183,2891.0,32146.96,197.24595,,32289.886942771285,32366.628939068803,36.29015342280503
184,1620.0,32176.4,114.38606,,32285.43647442731,32348.511897252727,38.52060473906674
185,1692.0,32182.03,114.52639,,32281.381318567415,32332.656478466753,38.960704340558834
186,2176.0,32080.02,145.73552,,32273.484796270655,32308.59586146992,34.18559261570863
187,1831.0,32186.66,120.04356,,32270.079902299258,32296.982922282306,42.165628275826734
188,1816.0,32094.04,144.77436,,32263.176376718893,32277.655024922085,37.870694691774645
189,2080.0,32115.44,171.58129,,32257.382793318153,32262.205974929504,39.406435959509366
190,1529.0,32134.43,97.57439,,32252.561115148812,32250.03683446003,40.80474865486388
191,1427.0,32196.25,90.3556,,32250.35283612337,32244.91427879717,45.235389296509716
192,1534.0,32188.93,117.91047,,32247.944097451866,32239.582442721246,44.80772858839822
193,1633.0,32103.36,106.897,,32242.27413284591,32226.608876747796,40.041974417488206
194,1623.0,32110.0,118.6397,,32237.08691194999,32215.503269438483,40.570193702572396
195,1460.0,32088.34,105.39351,,32231.253699716657,32203.392481872914,39.35229259630829
196,2086.0,32023.66,123.76799,,32223.112770316005,32186.275102646923,35.887739003093536
197,3128.0,31959.35,161.40172,,32212.7691322644,32164.66318810912,32.796074945515315
198,2725.0,31874.99,169.85703,,32199.522891783443,32137.07526543206,29.237842858221107
199,2442.0,31862.28,212.33521,31605.28565000002,32186.297680340955,32110.904287771864,28.732050017059375
200,1780.0,31878.84,112.12293,31608.007583830866,32174.240516406015,32088.802927031687,30.420955236850755
201,2476.0,31942.79,127.18668,31611.338752150958,32165.164025566562,32074.89693398105,36.66308532091533
202,2051.0,31992.16,103.584,31615.12801829871,32158.379553975716,32067.017225982854,41.05928127281098
203,1635.0,31885.11,84.8109,31617.814406176334,32147.663100878628,32049.6927282702,35.33258921696833
204,1355.0,31926.14,86.73092,31620.882322532787,32138.975920452016,32037.925801768277,38.8527994025494
205,1525.0,31845.2,64.2655,31623.114339224005,32127.455296120563,32019.570963504633,34.82539250942991
206,1862.0,31832.51,144.05331,31625.197878137198,32115.888813919755,32001.755633647048,34.22636458119838
207,1870.0,31950.68,126.50696,31628.436506215436,32109.410036903293,31996.891287585426,43.90293548948218
208,2180.0,32016.11,162.39477,31632.293953914785,32105.751211926694,31998.721641148717,48.42716866034393
209,1503.0,32024.73,131.28381,31636.19879019424,32102.573909498195,32001.19862770598,49.010613309133596
210,1904.0,31971.26,146.21505,31639.532732580366,32097.424344419833,31998.34732982922,45.56698269744711
211,2617.0,31941.97,173.98762,31642.54205862434,32091.328095619054,31992.978060321675,43.753421104299356
212,1622.0,31940.88,121.43859,31645.510595354448,32085.42817030066,31988.01634029104,43.68374342216188
213,1683.0,32006.93,134.26075,31649.106808335997,32082.349810681026,31989.817641215704,48.985351118719336
214,1664.0,31986.31,200.88764,31652.462063974446,32078.583543595494,31989.483580147542,47.48252700344157
215,1784.0,32009.62,194.0805,31656.01587428316,32075.879090905473,31991.401334419206,49.37338584778412
216,1360.0,31947.81,127.79575,31658.919298419645,32070.85677361506,31987.249778760233,44.77032525849806
217,2427.0,31922.57,257.82432,31661.542688485122,32065.041606022314,31981.089799830686,43.00709441727948
218,1552.0,31890.04,110.65117,31663.816293574822,32058.17879794301,31972.418390323,40.77802054943517
219,1217.0,31895.17,93.33749,31666.118320504425,32051.78629606289,31965.061400768427,41.294768954655524
220,1565.0,31883.47,98.68354,31668.281023782987,32045.185657001603,31957.290791171436,40.42833539464165
221,1431.0,31882.01,96.55248,31670.407680262757,32038.78661162899,31950.12119201225,40.314663018973896
222,1018.0,31864.45,67.19389,31672.338449613377,32031.94988176119,31941.962030868228,38.89804365132257
223,1510.0,31859.04,111.99085,31674.196176482896,32025.16910208428,31934.064694595065,38.44977192666496
224,1044.0,31840.79,61.96994,31675.85382646814,32017.938549061368,31925.181390347916,36.90471075161098
225,1781.0,31906.93,128.46975,31678.15309187642,32013.585272627588,31923.443162695734,45.45860979328757
226,1734.0,31956.01,83.90379,31680.91783723088,32011.327418799054,31926.54476624852,50.79005678150155
227,1523.0,31932.66,84.78779,31683.422734372863,32008.242421983403,31927.127169462947,48.367682828809905
228,1495.0,31889.4,72.03019,31685.472259403978,32003.5819348468,31923.53410570457,44.16501394023096
229,1641.0,31894.5,79.85019,31687.552137419858,31999.304211911633,31920.768952780327,44.77424203483786
230,1696.0,31861.21,112.99975,31689.280076351002,31993.88875262098,31915.09667156315,41.58465187249508
231,1654.0,31826.02,68.31933,31690.640672606216,31987.305664282903,31906.613179033327,38.46528968680825
232,1607.0,31861.08,76.76812,31692.336586311627,31982.355638232595,31902.276685792058,43.0489438604128
233,2095.0,31803.8,100.27828,31693.445675005045,31975.35345634112,31892.897953811862,38.06073494416529
234,2317.0,31776.99,104.39205,31694.276961820917,31967.574497268917,31881.859101067876,35.96041564018259
235,1422.0,31769.18,71.62646,31695.022265683394,31959.794320905432,31871.12775810903,35.348463305996816
236,2080.0,31772.86,177.4328,31695.796770502464,31952.463563222867,31861.76892400341,35.90196515489471
237,1426.0,31812.24,94.92971,31696.955409601942,31946.964599959225,31857.05188362213,41.65812906903831
238,2117.0,31842.76,110.65818,31698.4062015462,31942.87814505886,31855.690751848593,45.7260575449072
239,1768.0,31787.53,100.14344,31699.293005510914,31936.786060938906,31849.199251672537,40.255923734427554
240,1586.0,31786.53,118.84547,31700.161035306824,31930.893666392283,31843.23075151325,40.16224052414012
241,1525.0,31736.63,78.38387,31700.5239105774,31923.27548339651,31833.078298988177,35.69787668425627
242,1619.0,31767.13,108.569,31701.186657735834,31917.15213110645,31826.79750860835,40.08200163130821
243,1370.0,31751.67,81.31825,31701.688979549406,31910.662635768942,31819.642507788507,38.64376171396644
244,1730.0,31706.67,109.53952,31701.738541941948,31902.662924562315,31808.883221332457,34.73663586283336
245,1952.0,31679.01,111.31402,31701.51238729576,31893.892221638303,31796.514343110317,32.55764535481534
246,1964.0,31609.78,156.63558,31700.599627223164,31882.75056588778,31778.730119956952,27.84892538812781
247,1986.0,31578.17,134.24372,31699.381421977163,31870.806229970614,31759.629156151528,25.999925733338824
248,1822.0,31617.32,144.87495,31698.5648904152,31860.865593501178,31746.075903184716,32.019995589625566
249,1165.0,31631.5,82.73785,31697.89757807276,31851.87086434427,31735.16391240522,34.11079696720735
250,1809.0,31625.74,85.93821,31697.179592221288,31843.00298731116,31724.742587414246,33.657951314402574
251,1577.0,31598.8,132.10372,31696.200690806152,31833.426399573465,31712.748055279557,31.54837553891385
252,1811.0,31567.24,113.94719,31694.917499852858,31822.98771723725,31698.89014525293,29.23653715148003
253,1144.0,31566.61,71.22232,31693.640808312033,31812.9336891103,31686.292036181225,29.19055269842467
254,1599.0,31683.33,173.10152,31693.53821320445,31807.85119149813,31686.0099374973,46.10396755488409
255,1931.0,31713.49,134.89204,31693.736738446198,31804.150752615853,31688.627086307082,49.46304422148315
256,1714.0,31760.42,155.38248,31694.400253486536,31802.43582114072,31695.464506658787,54.242010390669435
257,2283.0,31795.22,224.42868,31695.403435043885,31802.152847762653,31704.96502983414,57.4548449478784
258,1753.0,31785.54,163.60388,31696.30031628723,31801.501363536667,31712.638836516602,56.27128821229571
259,2533.0,31737.9,242.13436,31696.714243488354,31799.007192417583,31715.04466161026,50.73232743246188
260,1361.0,31661.0,87.55317,31696.358877881503,31793.59514565611,31709.89755098071,43.31978787245397
261,1258.0,31654.87,90.48887,31695.946053225965,31788.154943865673,31704.65683183969,42.783159160328374
262,2274.0,31816.91,158.54528,31697.1496745869,31789.28259312584,31715.34760975972,57.69993751506619
263,2172.0,31807.52,166.82773,31698.247886780067,31789.997785552277,31724.125932639745,56.77620639776313
264,978.0,31758.89,76.19849,31698.851290891707,31788.777872393366,31727.436796197864,52.12230473284079
265,1506.0,31787.69,114.66063,31699.735258146517,31788.73521073088,31733.175196559972,54.50093117113867
266,1150.0,31806.73,63.54556,31700.799882443567,31789.440888741432,31740.180415935214,56.05531580039295
267,1831.0,31807.08,130.62571,31701.857396051095,31790.13261859471,31746.551804893767,56.08501566710339
268,1674.0,31779.76,100.77144,31702.632546339144,31789.725849238057,31749.714490141978,53.069967148679645
269,1561.0,31792.47,113.7125,31703.526451350695,31789.83346299343,31753.78644346179,54.30081798528737
270,1572.0,31801.8,79.32823,31704.504297605912,31790.30273895447,31758.359163132096,55.229081640067456
271,1534.0,31796.22,119.46412,31705.416891659585,31790.534788407236,31761.964957119515,54.51586240847227
272,1567.0,31780.91,86.15744,31706.16806686695,31790.157345724598,31763.769246917658,52.51212639775049
273,1701.0,31814.92,85.21814,31707.250175654342,31791.128430205987,31768.640747211215,56.350221936066745
274,1740.0,31831.87,121.91562,31708.49017390654,31792.72613882536,31774.662580810145,58.1649882412116
275,1756.0,31854.43,95.85504,31709.942311479608,31795.14589808711,31782.259477875847,60.517835307049104
276,2423.0,31904.0,113.39626,31711.873233753442,31799.41468639742,31793.853813316244,65.15505898168453
277,3448.0,31985.96,192.5149,31714.600465258383,31806.730188891637,31812.14964061946,71.18190472294162
278,1465.0,31922.4,114.24412,31716.66812232049,31811.266259915494,31822.64967484618,62.197489416890896
279,1283.0,31893.05,84.02797,31718.42316587949,31814.473465409003,31829.35446771797,58.52412476884008
280,2348.0,31764.98,173.7467,31718.88641796029,31812.532545196886,31823.223566030545,45.81025213007845
281,1295.0,31820.7,92.08185,31719.899488428346,31812.852837542105,31822.98322640859,50.81648318494688
282,1759.0,31855.38,126.93526,31721.247553220102,31814.520569403197,31826.068633417293,53.684444576270884
283,1430.0,31851.01,90.57717,31722.53872184478,31815.95152746582,31828.444001663265,53.26297505539558
284,1428.0,31840.29,187.62592,31723.710376353785,31816.90597736912,31829.57219198105,52.18072931325043
285,1289.0,31858.38,96.28494,31725.05037260897,31818.532409629155,31832.315792744757,53.883610050482886
286,1256.0,31831.24,90.90582,31726.10698581684,31819.030746506443,31832.213336292876,50.95204928670737
287,1210.0,31781.52,72.17277,31726.658359092296,31817.559736839525,31827.385399503077,46.01315029533795
288,1605.0,31825.69,124.3669,31727.643748554066,31817.878570688954,31827.223932883735,50.594802230036386
289,1253.0,31822.86,76.42097,31728.59117394159,31818.073920858016,31826.80832022814,50.300259672224236
290,1634.0,31773.8,90.02936,31729.04101300685,31816.337688667507,31821.759908777844,45.36931463483149
291,1376.0,31802.67,118.35955,31729.7736397431,31815.801700876626,31819.94182222757,48.56471311645778
292,1740.0,31752.45,109.81299,31729.999275168542,31813.317320450093,31813.51402963447,43.768836660106366
293,1420.0,31747.68,90.1935,31730.175202778806,31810.743307883422,31807.244122050233,43.33113960511868
294,1219.0,31795.0,74.35606,31730.82022563673,31810.125923260544,31806.078015188305,48.80105573123971
295,1695.0,31771.01,105.60714,31731.2201238891,31808.591965485622,31802.73820421799,46.3580122893812
296,1320.0,31754.11,80.44176,31731.4478838504,31806.45541781952,31798.10694667342,44.66180327642598
297,1250.0,31774.01,85.06927,31731.87138749368,31805.183048493265,31795.811999371188,47.1155709216157
298,1403.0,31745.26,76.0611,31732.00460751862,31802.833125022942,31790.9975232406,44.07490128740984
299,1305.0,31705.66,72.14338,31731.742472120422,31799.02241423773,31782.87014007483,40.2242454400413
300,1475.0,31693.64,119.98897,31731.3633430446,31794.889770542133,31774.372031496274,39.10739202384797
301,1187.0,31711.28,61.32424,31731.16350878545,31791.61095601107,31768.363266591867,41.66715766795057
302,1088.0,31761.91,59.32768,31731.469444021415,31790.446212638086,31767.748669773595,48.37509404051872
303,1225.0,31776.58,75.73188,31731.918305274932,31789.902439593454,31768.589748842776,50.16335725990765
304,1391.0,31783.92,64.05611,31732.43573507319,31789.667834119202,31770.04977276251,51.07650340252283
305,1428.0,31779.27,84.64812,31732.90174765953,31789.26007591845,31770.927889642273,50.445896196961726
